"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Niagara",65.6081,320,64.7728,331,99.0947,212,99.7809,224,99.4941,122,107.327,279,-7.54608,249
"2021","Nicholls St.",73.9246,20,71.8447,43,103.03,139,100.006,217,98.7089,96,103.82,207,-3.81441,202
"2021","NJIT",68.1476,215,68.5195,171,95.5768,279,94.2036,302,101.433,168,105.976,257,-11.7723,295
"2021","Norfolk St.",71.7677,69,67.7393,215,103.006,140,99.4866,226,96.702,64,103.185,198,-3.69881,200
"2021","North Alabama",70.1246,129,70.9031,70,96.7875,262,94.3454,301,102.405,202,105.128,235,-10.7831,280
"2021","North Carolina",71.8804,65,71.8103,44,105.059,93,110.328,54,96.582,61,89.9399,12,20.388,28
"2021","North Carolina A&T",73.1655,30,70.8852,72,94.2519,297,95.4496,287,101.773,184,106.36,265,-10.9099,284
"2021","North Carolina Central",68.7271,187,66.2431,285,93.4704,306,93.4076,309,104.535,249,109.242,312,-15.8342,327
"2021","North Dakota",68.9293,183,67.4099,230,97.9501,236,96.9626,269,108.144,303,108.477,297,-11.5144,291
"2021","North Dakota St.",66.5663,289,64.8781,329,104.29,106,102.977,162,100.752,153,101.253,153,1.72409,144
"2021","North Florida",68.1185,216,66.757,262,100.832,183,101.571,184,111.004,331,114.041,351,-12.4703,305
"2021","North Texas",65.0818,332,63.0664,350,103.916,116,105.46,119,92.9394,19,93.6759,41,11.7839,74
"2021","Northeastern",68.2626,211,67.2721,235,97.9204,239,98.7035,239,99.2834,114,98.2817,98,0.421791,164
"2021","Northern Arizona",65.3095,324,64.203,340,96.3552,270,97.7892,252,113.457,340,113.271,348,-15.4823,326
"2021","Northern Colorado",68.5382,197,68.1226,190,98.6378,221,98.3428,243,101.972,188,105.659,249,-7.31605,246
"2021","Northern Illinois",67.4746,254,65.6487,311,91.9278,320,93.4908,306,113.644,341,110.782,325,-17.2916,335
"2021","Northern Iowa",68.327,207,69.119,141,98.6577,220,103.292,152,105.05,258,102.823,189,0.469525,162
"2021","Northern Kentucky",66.2702,298,64.9574,323,106.186,78,104.168,130,106.044,279,107.512,282,-3.34426,197
"2021","Northwestern",69.337,169,68.6718,163,97.9519,235,104.742,124,101.666,182,92.7635,29,11.9788,71
"2021","Northwestern St.",73.5925,27,71.1048,61,97.7214,243,96.5104,275,108.966,313,111.066,331,-14.5553,320
"2021","Notre Dame",67.3793,257,67.4782,226,107.979,53,114.06,21,110.404,327,103.077,196,10.983,78
"2021","Oakland",70.6572,105,69.9368,101,102.752,144,104.184,129,111.426,333,108.604,299,-4.42019,209
"2021","Ohio",71.7136,72,69.306,130,112.226,17,112.916,29,102.559,209,102.149,176,10.7668,79
"2021","Ohio St.",67.553,250,67.0611,248,113.532,9,122.273,4,104.295,244,96.9203,78,25.3526,7
"2021","Oklahoma",69.1751,175,67.6645,222,106.109,80,111.525,36,98.5625,91,94.8309,53,16.6942,39
"2021","Oklahoma St.",72.8164,36,71.9443,41,103.792,119,110.224,57,98.1737,84,91.3838,22,18.8399,30
"2021","Old Dominion",68.1936,213,67.6958,220,99.0825,213,101.18,190,99.2319,112,99.73,124,1.4501,148
"2021","Oral Roberts",72.7902,37,71.75,46,108.965,37,108.782,72,106.738,283,107.568,285,1.21447,151
"2021","Oregon",67.8562,232,67.213,242,109.767,30,114.592,15,99.8891,130,96.7771,75,17.8149,36
"2021","Oregon St.",65.632,319,65.3761,315,104.37,105,109.451,63,104.538,250,99.1262,117,10.3248,84
"2021","Pacific",68.672,192,67.236,241,97.9352,237,103.197,155,101.339,165,98.3235,101,4.87304,122
"2021","Penn",0,348,69.4457,124,0,348,100.309,211,200,348,105.075,233,-4.76586,214
"2021","Penn St.",69.6508,153,69.3991,126,103.107,135,112.693,31,103.514,229,94.6507,49,18.0425,35
"2021","Pepperdine",71.9102,63,71.3936,49,101.665,161,107.238,93,103.693,233,100.71,137,6.52832,112
"2021","Pittsburgh",68.4727,199,68.5527,169,104.035,112,108.331,78,102.968,219,98.8443,113,9.4863,88
"2021","Portland",72.7264,39,71.3522,52,91.8046,323,96.2408,279,116.914,345,112.205,340,-15.9645,329
"2021","Portland St.",69.6563,152,69.5488,116,94.2757,296,92.3005,321,96.0539,52,100.807,142,-8.50645,256
"2021","Prairie View A&M",70.6506,107,69.4782,121,101.007,181,94.3684,300,91.0238,9,101.335,158,-6.96712,241
"2021","Presbyterian",66.294,297,66.0192,300,94.5234,293,90.7644,337,102.104,192,105.752,252,-14.9879,324
"2021","Princeton",0,348,66.9077,255,0,348,104.063,131,200,348,103.668,204,0.395142,165
"2021","Providence",67.2028,267,66.5347,271,101.714,160,107.45,91,101.773,185,96.2722,69,11.1775,77
"2021","Purdue",66.7936,283,66.463,274,106.055,82,113.627,24,98.8645,103,91.4168,23,22.21,15
"2021","Purdue Fort Wayne",69.584,156,69.8383,109,103.937,114,100.685,203,109.601,318,110.768,324,-10.0832,273
"2021","Quinnipiac",71.9511,59,72.2273,30,92.2098,317,89.5561,344,94.3902,33,100.54,134,-10.9844,286
"2021","Radford",64.53,335,63.7258,346,100.177,190,97.8568,251,100.359,140,104.472,221,-6.61536,235
"2021","Rhode Island",70.1779,124,69.2272,134,99.5911,204,104.929,123,99.2661,113,97.1828,83,7.74632,105
"2021","Rice",70.6,109,69.57,115,101.367,170,103.874,136,104.795,254,106.18,262,-2.30584,189
"2021","Richmond",69.872,144,68.711,160,106.549,73,110.921,42,100.437,143,97.4396,86,13.4814,60
